,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-11,ben nevis t shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,9.0
1,2020-01-11,ben nevis t-shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,rus,DESKTOP,0.0,1.0,0.0,10.0
2,2020-01-11,blue may,https://climbitrange.co.uk/products/blue-may-your-dog-go-with-you-him-t-shirt,esp,DESKTOP,0.0,1.0,0.0,62.0
3,2020-01-11,coast t shirts,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,DESKTOP,0.0,1.0,0.0,6.0
4,2020-01-11,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,rus,DESKTOP,0.0,1.0,0.0,29.0
5,2020-01-11,scafell pike t-shirt,https://climbitrange.co.uk/collections/scafell-pike-t-shirts-long-sleeve-t-shirts-and-hoodies,rus,DESKTOP,0.0,1.0,0.0,7.0
6,2020-01-11,snowdon t-shirt,https://climbitrange.co.uk/collections/snowdon-t-shirts-long-sleeve-t-shirts-and-hoodies,phl,DESKTOP,0.0,1.0,0.0,10.0
