,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-19,climbing t shirts,https://climbitrange.co.uk/,bra,DESKTOP,0.0,1.0,0.0,55.0
1,2020-01-19,coast to coast t shirt,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,1.0
2,2020-01-19,coast to coast t shirts uk,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,usa,MOBILE,0.0,1.0,0.0,1.0
3,2020-01-19,coast tshirt,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,5.0
4,2020-01-19,it range,https://climbitrange.co.uk/,pol,MOBILE,0.0,1.0,0.0,9.0
5,2020-01-19,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,usa,DESKTOP,0.0,1.0,0.0,38.0
6,2020-01-19,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,col,DESKTOP,0.0,1.0,0.0,28.0
7,2020-01-19,outdoor t shirts,https://climbitrange.co.uk/,idn,MOBILE,0.0,1.0,0.0,75.0
8,2020-01-19,outdoor t shirts,https://climbitrange.co.uk/,twn,DESKTOP,0.0,1.0,0.0,74.0
9,2020-01-19,path t,https://climbitrange.co.uk/collections/south-west-coast-path-t-shirts-long-sleeve-t-shirts-and-hoodies,egy,DESKTOP,0.0,1.0,0.0,14.0
10,2020-01-19,tryfan adam and eve,https://climbitrange.co.uk/collections/tryfan-t-shirts-long-sleeve-t-shirts-and-hoodies,kor,DESKTOP,0.0,1.0,0.0,64.0
