,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-10,ben nevis t-shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,chl,DESKTOP,0.0,1.0,0.0,10.0
1,2020-01-10,coast to coast merchandise,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,5.0
2,2020-01-10,coast to coast t shirt,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,1.0
3,2020-01-10,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,usa,DESKTOP,0.0,1.0,0.0,40.0
4,2020-01-10,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,kor,DESKTOP,0.0,1.0,0.0,29.0
5,2020-01-10,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,lca,MOBILE,0.0,1.0,0.0,97.0
6,2020-01-10,outdoors t shirts,https://climbitrange.co.uk/,gbr,DESKTOP,0.0,1.0,0.0,48.0
7,2020-01-10,scafell pike t-shirt,https://climbitrange.co.uk/collections/scafell-pike-t-shirts-long-sleeve-t-shirts-and-hoodies,mex,DESKTOP,0.0,1.0,0.0,6.0
8,2020-01-10,snowdon t-shirt,https://climbitrange.co.uk/collections/snowdon-t-shirts-long-sleeve-t-shirts-and-hoodies,fra,DESKTOP,0.0,1.0,0.0,10.0
