,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-12,ben nevis t-shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,ita,DESKTOP,0.0,1.0,0.0,10.0
1,2020-01-12,catbells height,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,69.0
2,2020-01-12,coast to coast t shirt,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,1.0
3,2020-01-12,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,esp,DESKTOP,0.0,1.0,0.0,41.0
4,2020-01-12,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,vnm,DESKTOP,0.0,1.0,0.0,30.0
5,2020-01-12,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,gbr,DESKTOP,0.0,1.0,0.0,95.0
6,2020-01-12,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,ltu,DESKTOP,0.0,1.0,0.0,94.0
7,2020-01-12,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,sgp,DESKTOP,0.0,1.0,0.0,96.0
8,2020-01-12,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,usa,DESKTOP,0.0,1.0,0.0,93.0
9,2020-01-12,scafell pike t-shirt,https://climbitrange.co.uk/collections/scafell-pike-t-shirts-long-sleeve-t-shirts-and-hoodies,fra,DESKTOP,0.0,1.0,0.0,7.0
10,2020-01-12,snowdon t-shirt,https://climbitrange.co.uk/collections/snowdon-t-shirts-long-sleeve-t-shirts-and-hoodies,deu,DESKTOP,0.0,1.0,0.0,10.0
