,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-16,ben nevis t shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,9.0
1,2020-01-16,climb it,https://climbitrange.co.uk/,pol,DESKTOP,0.0,1.0,0.0,32.0
2,2020-01-16,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,tha,DESKTOP,0.0,1.0,0.0,40.0
3,2020-01-16,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,fra,DESKTOP,0.0,1.0,0.0,30.0
4,2020-01-16,outdoor t shirts,https://climbitrange.co.uk/,dza,MOBILE,0.0,1.0,0.0,74.0
5,2020-01-16,outdoor t shirts,https://climbitrange.co.uk/,gbr,DESKTOP,0.0,1.0,0.0,76.0
6,2020-01-16,outdoor t shirts,https://climbitrange.co.uk/,ind,DESKTOP,0.0,1.0,0.0,79.0
7,2020-01-16,outdoor t shirts,https://climbitrange.co.uk/,rou,DESKTOP,0.0,1.0,0.0,77.0
8,2020-01-16,outdoor t shirts,https://climbitrange.co.uk/,usa,DESKTOP,0.0,1.0,0.0,78.0
9,2020-01-16,snowdonia t shirt,https://climbitrange.co.uk/collections/snowdon-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,10.0
10,2020-01-16,west coast t shirts,https://climbitrange.co.uk/collections/south-west-coast-path-t-shirts-long-sleeve-t-shirts-and-hoodies,vnm,DESKTOP,0.0,1.0,0.0,29.0
