,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-14,climbing catbells,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,ken,DESKTOP,0.0,1.0,0.0,69.0
1,2020-01-14,climbit,https://climbitrange.co.uk/,ltu,DESKTOP,0.0,1.0,0.0,69.0
2,2020-01-14,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,ind,DESKTOP,0.0,1.0,0.0,42.0
3,2020-01-14,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,arg,DESKTOP,0.0,1.0,0.0,26.0
4,2020-01-14,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,idn,DESKTOP,0.0,1.0,0.0,101.0
5,2020-01-14,snowdon t-shirt,https://climbitrange.co.uk/collections/snowdon-t-shirts-long-sleeve-t-shirts-and-hoodies,rus,DESKTOP,0.0,1.0,0.0,8.0
