,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-15,coast to coast merchandise,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,1.0,1.0,1.0,6.0
1,2020-01-15,coast to coast t shirt,https://climbitrange.co.uk/collections/coast-to-coast-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,1.0,2.0,0.5,1.0
2,2020-01-15,ben nevis t shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,10.0
3,2020-01-15,climb it,https://climbitrange.co.uk/,gbr,DESKTOP,0.0,1.0,0.0,7.0
4,2020-01-15,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,col,DESKTOP,0.0,1.0,0.0,42.0
5,2020-01-15,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,mex,DESKTOP,0.0,1.0,0.0,29.0
6,2020-01-15,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,sen,DESKTOP,0.0,1.0,0.0,96.0
7,2020-01-15,outdoor t shirts,https://climbitrange.co.uk/,gbr,DESKTOP,0.0,1.0,0.0,75.0
8,2020-01-15,outdoor t shirts,https://climbitrange.co.uk/,idn,DESKTOP,0.0,1.0,0.0,79.0
9,2020-01-15,outdoor t shirts,https://climbitrange.co.uk/,pol,MOBILE,0.0,1.0,0.0,73.0
10,2020-01-15,road bike t shirts,https://climbitrange.co.uk/collections/road-bike-t-shirts-long-sleeve-t-shirts-and-hoodies,vnm,DESKTOP,0.0,1.0,0.0,53.0
11,2020-01-15,south west t shirt,https://climbitrange.co.uk/collections/south-west-coast-path-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,DESKTOP,0.0,1.0,0.0,1.0
12,2020-01-15,west coast t shirt,https://climbitrange.co.uk/collections/south-west-coast-path-t-shirts-long-sleeve-t-shirts-and-hoodies,egy,DESKTOP,0.0,1.0,0.0,37.0
13,2020-01-15,west coast t shirt,https://climbitrange.co.uk/collections/south-west-coast-path-t-shirts-long-sleeve-t-shirts-and-hoodies,tur,DESKTOP,0.0,1.0,0.0,42.0
14,2020-01-15,west coast t shirt,https://climbitrange.co.uk/collections/south-west-coast-path-t-shirts-long-sleeve-t-shirts-and-hoodies,ven,DESKTOP,0.0,1.0,0.0,42.0
